key,english
ui_0001,10-digit number
ui_0002,3-day trial plan
ui_0003,A few permissions are needed
ui_0004,A last autosaved project was found. Do you want to restore it?
ui_0005,A new app update is ready
ui_0006,A newer version is available on the Play Store. Update now for the latest improvements.
ui_0007,A Telugu-first app for creating posters with ease
ui_0008,About App
ui_0009,Account
ui_0010,Account and Content Responsibility
ui_0011,Account deleted successfully.
ui_0012,Account deletion
ui_0013,Account Deletion and Device Access
ui_0014,Account deletion failed.
ui_0015,Activate subscription to share or download posters.
ui_0016,Active
ui_0017,Add a caption
ui_0018,Add details optional
ui_0019,Add Photo
ui_0020,Add Text
ui_0021,Adjust
ui_0022,Adjust mode
ui_0023,Ads and Third-Party Services
ui_0024,"After choosing a poster, it can be customized in the editor."
ui_0025,"After login, the home screen shows poster categories and designs."
ui_0026,"After selecting a State or Union Territory, the app switches to the region language and shows relevant categories, including political party categories."
ui_0027,"After you confirm deletion, the app starts removing your sign-in access, profile photo, poster identity details, and app-linked personal data. Play Store or Apple billing records may remain separately for legal or accounting purposes."
ui_0028,AI is processing the selected photo layer
ui_0029,Alignment & Shadow
ui_0030,All
ui_0031,Allow
ui_0032,Allow camera from settings.
ui_0033,Allow from Settings
ui_0034,Allow gallery permission and try exporting again
ui_0035,Allow location from settings.
ui_0036,Allow notifications from settings.
ui_0037,Allow photos from settings.
ui_0038,Allowed
ui_0039,Already have an account?
ui_0040,An account already exists with this email.
ui_0041,An active plan was restored from the backend
ui_0042,and
ui_0043,Another payment is already in progress.
ui_0044,App details and version info
ui_0045,App Settings
ui_0046,App settings opened.
ui_0047,Apply
ui_0048,Applying eraser
ui_0049,Applying magic wand
ui_0050,Applying...
ui_0051,Approved
ui_0052,Authentication is not configured on this build.
ui_0053,Auto-renewal
ui_0054,Available languages
ui_0055,Back
ui_0056,Background
ui_0057,Background Colors
ui_0058,Background Opacity
ui_0059,Background remove processing
ui_0060,"Background tool: choose White, Color, Gradient, or Image."
ui_0061,Banner unavailable
ui_0062,Billing service is unavailable
ui_0063,Blur
ui_0064,Border
ui_0065,Brightness
ui_0066,Bring front
ui_0067,Browse posters by category and quickly choose a suitable design.
ui_0068,Brush
ui_0069,Build
ui_0070,Business
ui_0071,Business Details
ui_0072,Business logo update failed
ui_0073,Business Name
ui_0074,Business preview
ui_0075,Business Tagline
ui_0076,Business WhatsApp Number
ui_0077,Buy
ui_0078,"By continuing, you agree to our Privacy Policy and Terms & Conditions."
ui_0079,Camera
ui_0080,Camera access granted.
ui_0081,Camera access is off.
ui_0082,Cancel
ui_0083,Canvas is empty
ui_0084,Capture failed. Please try again.
ui_0085,Category
ui_0086,Category is required
ui_0087,Center
ui_0088,Change logo
ui_0089,Change photo
ui_0090,Check
ui_0091,Checking plan status...
ui_0092,Checking subscription status...
ui_0093,Children's Privacy
ui_0094,Choose and share with your name
ui_0095,Choose the closest reason. Reports help keep the community safe and may be reviewed by our team.
ui_0096,Choose the language you want in the app. You can change it later too.
ui_0097,Choose your app language
ui_0098,Choose your language
ui_0099,Christian
ui_0100,Close
ui_0101,Color
ui_0102,Community Contribution
ui_0103,"Community quote/image submissions are reviewed by a manager, who may customize and publish the poster in the correct category."
ui_0104,"Community Status, Replies, and 24-Hour Retention"
ui_0105,"Community Status, Replies, and Temporary Content"
ui_0106,"Community upload lets users send an image, quote, or both for manager review; approved posters appear in the appropriate category."
ui_0107,Community Uploads and Review
ui_0108,"Community Uploads, Moderation, and Reporting"
ui_0109,Confirm account deletion
ui_0110,Congratulations! You received 30 days Premium free.
ui_0111,Contact Information
ui_0112,Continue
ui_0113,Continue with Google
ui_0114,Contrast
ui_0115,Control alerts and updates
ui_0116,Copyright or trademark issue
ui_0117,Corner Radius
ui_0118,Could not add the extra photo.
ui_0119,Could not load downloads.
ui_0120,Could not open editor. Please try again.
ui_0121,Could not open settings. Please try again.
ui_0122,Could not open the link. Please try again.
ui_0123,Could not open the mail app. Please try again.
ui_0124,Could not open the Play Store. Please try again.
ui_0125,Could not refresh status. Pull down to retry.
ui_0126,Could not save language. Please try again.
ui_0127,Could not save parties. Please try again.
ui_0128,Could not save your selection. Please try again.
ui_0129,Create
ui_0130,Create & Share
ui_0131,Crop
ui_0132,Crop failed
ui_0133,Crop Logo
ui_0134,Crop mode
ui_0135,Crop Photo
ui_0136,Current language
ui_0137,Custom
ui_0138,"Customize the selected template in the editor, then save or share it."
ui_0139,Data Protection
ui_0140,Data Sharing
ui_0141,Delete
ui_0142,Delete account
ui_0143,Delete layer
ui_0144,Delete my account
ui_0145,Delete selected
ui_0146,Designation
ui_0147,Device Access and Sessions
ui_0148,Display Name
ui_0149,Don't have an account?
ui_0150,Download
ui_0151,Download failed. Please try again.
ui_0152,Draft save failed
ui_0153,Draft saved in app storage
ui_0154,Drafts
ui_0155,Drag on the photo to erase
ui_0156,Duplicate selected
ui_0157,Edit
ui_0158,Edit Text
ui_0159,Editor is not available on web. Use the mobile app to create posters.
ui_0160,Effects
ui_0161,Elements
ui_0162,Email address
ui_0163,Enter a referral code if you have one.
ui_0164,Enter business name
ui_0165,Enter referral code
ui_0166,Enter valid email
ui_0167,Enter your designation
ui_0168,Enter your name
ui_0169,Erase
ui_0170,Eraser
ui_0171,Export
ui_0172,Export boundary not ready
ui_0173,Export is already in progress
ui_0174,Exporting poster
ui_0175,Father's Day
ui_0176,"Features, pricing, designs, ads, and these terms may change over time. Some features may become temporarily unavailable because of technical issues, platform restrictions, or third-party failures. To the extent permitted by law, the app is not liable for indirect loss, data loss, or missed business opportunities."
ui_0177,File save failed. Please try again.
ui_0178,Fill
ui_0179,Fill Colors
ui_0180,"Finally, the completed poster can be saved or shared."
ui_0181,"Firebase, Analytics, and Ads"
ui_0182,Font
ui_0183,Font Size
ui_0184,Fonts
ui_0185,"For account security, one account may remain active on only one primary device session at a time. If the same account is activated on another primary device, the previous session may be signed out. This helps reduce account misuse and unauthorized access."
ui_0186,For updates.
ui_0187,Forgot Password
ui_0188,Free
ui_0189,Friendship Day
ui_0190,Front
ui_0191,Gallery
ui_0192,Gallery permission was denied.
ui_0193,Get help and contact support
ui_0194,Glow
ui_0195,Good Afternoon
ui_0196,Good Morning
ui_0197,Good Night
ui_0198,Google Sign-In failed. Please try again.
ui_0199,Google Sign-In is not available on this device right now.
ui_0200,Google Sign-In is not supported on this build.
ui_0201,Google Sign-In popup was blocked. Allow popups and try again.
ui_0202,Google Sign-In setup is incomplete. Please try again later.
ui_0203,Google Sign-In was canceled before completing sign-in.
ui_0204,Google Sign-In was interrupted. Please try again.
ui_0205,Gradient
ui_0206,Harassment or bullying
ui_0207,Hardness
ui_0208,Hate speech or discrimination
ui_0209,Height
ui_0210,Help & Support
ui_0211,Hide this item?
ui_0212,Hindu
ui_0213,Home will show the categories that match your selection.
ui_0214,How the app works
ui_0215,How We Use Data
ui_0216,Illegal content
ui_0217,Image
ui_0218,Image Editor
ui_0219,Image or quote is required
ui_0220,Image or text is required
ui_0221,Image size must be 500KB or less
ui_0222,Inches
ui_0223,Includes poster/stage background
ui_0224,Incorrect email or password.
ui_0225,"It can also be used in English, Hindi, Tamil, Kannada, and Malayalam."
ui_0226,JPG
ui_0227,Language
ui_0228,Language Settings
ui_0229,"Last updated: June 15, 2026"
ui_0230,Later
ui_0231,Layers
ui_0232,Left
ui_0233,Letter Spacing
ui_0234,Line Spacing
ui_0235,Location
ui_0236,Location access granted.
ui_0237,Location access is off.
ui_0238,Login
ui_0239,Login required
ui_0240,Login with Email
ui_0241,Login with Google or Email and start your poster journey.
ui_0242,Logo Style
ui_0243,Logout
ui_0244,Magic
ui_0245,Magic wand
ui_0246,Main features
ui_0247,Mana Business
ui_0248,Mana Poster Ai Featured Banner
ui_0249,"Mana Poster Ai helps users quickly choose, personalize, and share greeting posters, festival designs, business promotions, devotional content, and other occasion-based posters. The app is built around a simple mobile workflow for browsing, editing, and sharing in one place."
ui_0250,"Mana Poster Ai is intended for personal, business, and promotional poster creation. You must use the app lawfully and responsibly."
ui_0251,Manage current plan and upgrades
ui_0252,Minimum 6 characters required
ui_0253,Misinformation or deceptive political content
ui_0254,Monthly
ui_0255,Monthly plan
ui_0256,More
ui_0257,Mother's Day
ui_0258,Move backward
ui_0259,Move forward
ui_0260,Move to back
ui_0261,Move to front
ui_0262,Muslim
ui_0263,My Downloads
ui_0264,My Status
ui_0265,My Uploads
ui_0266,National
ui_0267,Need help from support?
ui_0268,Network issue. Please check your internet connection.
ui_0269,New Poster
ui_0270,No
ui_0271,No account found for this email.
ui_0272,No logged-in user found.
ui_0273,No matching region found.
ui_0274,No new statuses yet
